sample	viral_hit
IT4	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_008241154.1 virion structural protein [Cellulophaga phage phi46:3]
IT4	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT4	YP_010356533.1 virion structural protein [Cellulophaga phage Calle_1]
IT4	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010108898.1 structural protein [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010108896.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	ATP dependent DNA ligase domain [PF01068.25]; mRNA capping enzyme, catalytic domain [PF01331.23]
IT4	YP_001429792.1 ATPase [Bacillus phage 0305phi8-36]
IT4	YP_001429789.1 putative metalloprotein chaperonin subunit [Bacillus phage 0305phi8-36]
IT4	YP_008242123.1 terminase large subunit [Cellulophaga phage phi13:2]
IT4	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_009873953.1 N-acetylmuramoyl-L-alanine amidase [Tenacibaculum phage PTm1]
IT4	YP_010110684.1 DNA primase [uncultured phage cr1_1]
IT4	YP_010112223.1 Holliday junction resolvase [uncultured phage cr53_1]
IT4	YP_010109018.1 5'-3' exonuclease [Flavobacterium phage vB_FspP_elemoE_6-9C]
IT4	YP_010845116.1 recombinase [Vibrio phage vB_VpaM_VPs20]
IT4	YP_010109163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoD_13-5B]
IT4	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010681051.1 hypothetical protein PQE73_gp155 [Bacillus phage vB_BanS_MrDarsey]
IT4	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT4	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT4	YP_009325542.1 hypothetical protein BST79_gp024 [Only Syngen Nebraska virus 5]
IT4	YP_010113054.1 DNA primase [uncultured phage cr115_1]
IT4	Domain of unknown function (DUF932) [PF06067.15]
IT4	YP_010111466.1 uracil-DNA glycosylase [uncultured phage cr112_1]
IT4	YP_009839329.1 RIIA lysis inhibitor [Streptomyces phage Blueeyedbeauty]
IT4	YP_009873826.1 nucleotide pyrophosphohydrolase [Tenacibaculum phage PTm1]
IT4	Chaperonin 10 Kd subunit [PF00166.25]
IT4	YP_010108896.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	GNT-I family [PF03071.19]
IT4	YP_010357511.1 hypothetical protein M1M31_gp69 [Cellulophaga phage Nekkels_1]
IT4	YP_009787836.1 DNA polymerase [Salmonella phage vB_SenS_Sasha]
IT4	YP_010106326.1 hypothetical protein KNU90_gp042 [Bacteroides phage DAC15]
IT4	Type III restriction enzyme, res subunit [PF04851.19]
IT4	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010108898.1 structural protein [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010111333.1 uracil-DNA glycosylase [uncultured phage cr111_1]
IT4	Domain of unknown function (DUF932) [PF06067.15]
IT4	YP_010359409.1 DNA primase [uncultured phage cr77_1]
IT4	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT4	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT4	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT4	YP_010111676.1 replicative DNA helicase [uncultured phage cr85_1]
IT4	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT4	YP_009834218.1 hypothetical protein HWB26_gp31 [Lentibacter phage vB_LenP_ICBM2]
IT4	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010108900.1 hypothetical protein KNV10_gp28 [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010358516.1 PD-(D/E)XK nuclease [Halorubrum sodomense tailed virus 4]
IT4	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010112557.1 VOG1134 [uncultured phage cr4_1]
IT4	YP_010359682.1 VOG3903 [uncultured phage cr18_1]
IT4	Type III restriction enzyme, res subunit [PF04851.19]
IT4	YP_009598790.1 HNH endonuclease [Ralstonia phage RP12]
IT4	YP_010111676.1 replicative DNA helicase [uncultured phage cr85_1]
IT4	YP_009600640.1 UNVERIFIED: putative DNA polymerase [Proteus phage VB_PmiS-Isfahan]
IT4	Transcriptional regulatory protein, C terminal [PF00486.32]
IT4	YP_009031687.1 hypothetical protein FG39_gp147 [Escherichia phage vB_EcoS_FFH_1]
IT4	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT4	YP_010111525.1 uracil-DNA glycosylase [uncultured phage cr116_1]
IT4	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010109072.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoE_6-9C]
IT4	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT4	YP_010108898.1 structural protein [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_009873953.1 N-acetylmuramoyl-L-alanine amidase [Tenacibaculum phage PTm1]
IT4	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010108896.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT4	YP_007006034.1 ferredoxin [Cyanophage S-TIM5]
IT4	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010114631.1 putative tail fiber-like protein [Flavobacterium phage vB_FspM_immuto_2-6A]
IT4	YP_009664289.1 virion structural protein [Bacillus phage PBS1]
IT4	YP_009600163.1 hypothetical protein FDH38_gp039 [Dinoroseobacter phage vB_DshS-R5C]
IT4	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
IT4	REFSEQ virion structural protein; Xu
IT4	REFSEQ virion structural protein; Xu
IT4	REFSEQ hypothetical protein; Xu
IT4	YP_008241142.1 virion structural protein [Cellulophaga phage phi46:3]
IT4	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_008240888.1 terminase large subunit [Cellulophaga phage phi19:3]
IT4	YP_007675015.1 hypothetical protein CPKG_00042 [Cyanophage KBS-S-2A]
IT4	YP_008320321.1 hypothetical protein N386_gp59 [Puniceispirillum phage HMO-2011]
IT4	Family of unknown function (DUF5856) [PF19174.4]
IT4	YP_010356757.1 DNA repair protein [Tenacibaculum phage Gundel_1]
IT4	YP_008241418.1 hypothetical protein Phi38:1_gp037 [Cellulophaga phage phi38:1]
IT4	YP_010356577.1 peptidase [Cellulophaga phage Calle_1]
IT4	YP_003969712.1 putative deoxynucleoside monophosphate kinase [Cafeteria roenbergensis virus BV-PW1]
IT4	YP_008240905.1 virion structural protein [Cellulophaga phage phi19:3]
IT4	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	Photosynthesis system II assembly factor YCF48 [PF14870.10]
IT4	YP_010356521.1 hypothetical protein M1M21_gp27 [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT4	YP_010356826.1 hypothetical protein M1M25_gp071 [Tenacibaculum phage Gundel_1]
IT4	YP_009701908.1 hypothetical protein F8205_gp253 [Paramecium bursaria Chlorella virus CVA-1]
IT4	YP_010111142.1 hypothetical protein KNV36_gp056 [uncultured phage cr108_1]
IT4	YP_010111144.1 hypothetical protein KNV36_gp054 [uncultured phage cr108_1]
IT4	YP_010111146.1 hypothetical protein KNV36_gp052 [uncultured phage cr108_1]
IT4	Cyclic-phosphate processing Receiver domain [PF20274.2]
IT4	REFSEQ hypothetical protein; Xu
IT4	YP_010110903.1 hypothetical protein KNV33_gp32 [uncultured phage cr10_1]
IT4	YP_010113054.1 DNA primase [uncultured phage cr115_1]
IT4	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT4	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT4	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT4	YP_009798058.1 tail associated lysin [Lactobacillus phage Bacchae]
IT4	YP_112478.1 hypothetical protein PHG11b_2 [Flavobacterium phage 11b]
IT4	Family of unknown function (DUF5309) [PF17236.6]
IT4	YP_010108897.1 portal protein [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010359682.1 VOG3903 [uncultured phage cr18_1]
IT4	YP_010681552.1 polynucleotide kinase [Bacillus phage vB_BcoS-136]
IT4	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
IT4	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010108901.1 virion structural protein [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010112422.1 nuclear pore complex protein-like protein [uncultured phage cr60_1]
IT4	YP_010111146.1 hypothetical protein KNV36_gp052 [uncultured phage cr108_1]
IT4	sp|Q5UNS9|COLL7_MIMIV Collagen-like protein 7; XhXs
IT4	YP_008241155.1 structural protein [Cellulophaga phage phi46:3]
IT4	YP_010356525.1 hypothetical protein M1M21_gp23 [Flavobacterium phage vB_FspP_elemoC_14-1A]
